Old Country, New Country
Mainland China,China
"Bahamas, The",Bahamas
The Bahamas,Bahamas
"Gambia, The",Gambia
The Gambia,Gambia
Czech Republic,Czechia
Viet Nam,Vietnam
Vatican City,Holy See
Taiwan,Taiwan*
East Timor,Timor-Leste
Iran (Islamic Republi of),Iran
Republic of Ireland,Ireland
Republic of Korea,"Korea, South"
Korea South,"Korea, South"
South Korea,"Korea, South"
Republic of Moldova,Moldova
UK,United Kingdom
Iran (Islamic Republic of),Iran
Ivory Coast,Cote d'Ivoire
Fench Guiana,French Guiana
Saint Martin,St Martin
Russian Federation,Russia
