Country,Region,Social distancing type,Date,Explanation
Albania,,Lockdown,March 12 2020,
Argentina,,Lockdown,March 19 2020,"Argentina has gone into complete lockdown, similarly to Italy and Spain “We’ll be absolutely inflexible in the enforcement,” President Alberto Fernández declared. “This is an exceptional measure in an exceptional time""  The government had already shut borders, cancelled almost all flights with the exception of repatriations, closed schools and mandated a 14-day quarantine for anyone traveling from virus hotspots"
Armenia,,Lockdown,March 24 2020,"-Under the lockdown, citizens will need identification documents and special permits to venture outside. They will also be required to fill in a special form to explain the purpose of leaving the house."
Austria,,Lockdown,March 16 2020,"As of 16 March, nationwide, homes may only be left for one of the following reasons:[18]

urgently necessary professional activities
necessary purchases (groceries or medication)
assisting other people
outside walks, alone or in the company of people living in the same household
Officials stated that those restrictions are being actively enforced by the police."
Australia,,Lockdown,March 23 2020,"Non-essential businesses closed down, but looks like schools still open"
Belgium,,Lockdown,March 18 2020,"Citizens will be allowed to leave their homes only for essential visits to supermarkets, pharmacies, banks and in cases of emergency. Allowed outside for exercise, alone, or with cohabitants or with 1 friend."
Brazil,,Limited action,,
Canada,,Social distancing,March 20 2020,"In almost all provinces:
-schools closed
-bars and restaurants closed"
China,,,,
Chile,,Social distancing,March 13 2020,"-Nighttime curfew
-Schools closed
-Large gatherings banned"
Colombia,,Lockdown,March 25 2020,
Croatia,,Lockdown,March 21 2020,"Interior Minister Davor Božinović has reminded citizens of the decision to limit public gatherings and the new restrictions on public transport. He emphasized that tram traffic will be suspended and that buses will be disinfected. Božinović also said that a determination would be made on which services were absolutely necessary, and that these workers will receive special ID cards allowing them to travel to and from work. He concluded that journalists will also receive the new ID cards."
Czech Republic,,Lockdown,March 25 2020,
Denmark,,Lockdown,March 11 2020,
Ecuador,,,,
El Salvador,,Lockdown,March 22 2020,-Only one person per household is permitted to go out for shopping.
Finland,,Social distancing,March 16 2020,"-The measures include the closing of schools (excluding early education) and most government-run public facilities, limiting public gatherings, and closing the country's borders."
France,,Lockdown,March 14 2020,"Beginning 12am local time on March 14:
- cafés, restaurants, cinemas, nightclubs and all non-essential shops will close
- only groceries, pharmacies and petrol stations will remain open
- people told to stay home, allowed outside for exercise   - 2km max distance from home, no bicycling

Full lockdown with police enforcement March 17 https://en.wikipedia.org/wiki/Template:2020_coronavirus_quarantines_outside_Hubei#cite_note-14"
Germany,,~Lockdown,,"-Gatherings of 2+ banned
-Non-essential business closed down
-Enforcement?"
Greece,,Lockdown,March 23 2020,"-People venturing out of their homes to head to or return form work will have to carry a completed form detailing their residence, work address and working hours or otherwise face a 150 euro fine if stopped by the police.
-All other allowed reasons to be on the streets - to visit a pharmacy, doctor, bank, food store or supermarket as well as to walk a pet and for physical exercise - will require a completed form or notifying the civil protection ministry via text messaging and mentioning the reason one has to be outside."
Honduras,,Lockdown,March 17 2020,
Hungary,,Lockdown,March 27 2020,"-Exemptions include trips to shops and pharmacies for necessities, with infringements liable to police fines of up to 500,000 forints (1,400 euros, $1,550).
-Shops will be open exclusively for those aged over 65 between 9 am and 12 noon to ""separate youth from elderly in a bearable way,"" said Orban."
India,,Lockdown announced in most states,March 23 2020,"30 States/UTs [out of 37] announce complete lockdown. PM Modi had said earlier: ""Many people are still not taking the lockdown seriously.

Full lockdown March 25 https://www.indiatoday.in/india/story/novel-coronavirus-covid19-latest-news-update-india-lockdown-confirmed-positive-cases-deaths-uk-usa-italy-iran-china-1658922-2020-03-24"
Indonesia,,Limited action,,
Iran,,~Lockdown,March 14 2020,"""Iran’s Revolutionary Guards are to clear streets, shops and public places in the country within the next 24 hours, in a dramatic escalation of efforts to combat the spread of coronavirus.

The near-curfew follows growing exasperation among MPs that calls for Iranian citizens to stay at home had been widely ignored
...
The new steps, reflecting a transfer of power from political to military rulers, and ordered by the supreme leader"""
Iraq,,Social distancing,March 22 2020,"-Schools, universities and other gathering places would remain closed, as would the country's multiple international airports, it said in a statement seen by AFP. "
Ireland,,Social distancing,March 12 2020,"-Schools shut down
-Large gatherings (100+ indoors, 5000+ outdoors) banned
-All state-run cultural institutions will close
-More restrictions March 24, but still not full lockdown https://www.dublinlive.ie/news/dublin-news/live-coronavirus-latest-ireland-updates-17969134"
Jordan,,Lockdown,March 21 2020,"-Very strict initially, but had to loosen it a bit after chaos"
Israel,,Urged lockdown,March 17 2020,"Israel urges its citizens to remain home and go out only for “vital needs and services”. Shopping for food is allowed only if no delvery option is available. Parks, beaches and malls will be off-limits. People will be allowed to exercise outdoors for 10 minutes if nobody is nearby
-Non-essential businesses closed
-Gatherings of 10+ people banned"
Italy,,Lockdown,March 9 2020,
Lebanon,,Lockdown,March 15 2020,
