Old Country,Old Province,Old District,New Country,New Province,New District
US,"Virgin Islands, U.S.",,US,Virgin Islands,
US,"United States Virgin Islands",,US,Virgin Islands,
France,Fench Guiana,,France,French Guiana,
United Kingdom,United Kingdom,UK,United Kingdom,United Kingdom,
China,Hong Kong,Hong Kong,China,Hong Kong,
Hong Kong SAR,Hong Kong,,China,Hong Kong,
Macau SAR,Macau,,China,Macau,
US,"Washington, D.C.",,US,District of Columbia,
US,District of Columbia,District of Columbia,US,District of Columbia,
China,Macau,Macau,China,Macau,
