Country,Region,Region ID,Population
Afghanistan,,Afghanistan,"36,643,815"
Albania,,Albania,"3,074,579"
Algeria,,Algeria,"42,972,878"
American Samoa,,American Samoa,"49,437"
Andorra,,Andorra,"77,000"
Angola,,Angola,"32,522,339"
Anguilla,,Anguilla,"18,090"
Antigua and Barbuda,,Antigua and Barbuda,"98,179"
Argentina,,Argentina,"45,479,118"
Armenia,,Armenia,"3,021,324"
Australia,,Australia,"25,466,459"
Australia,Australian Capital Territory,Australia - Australian Capital Territory,"418,440"
Australia,New South Wales,Australia - New South Wales,"8,089,526"
Australia,Northern Territory,Australia - Northern Territory,"245,800"
Australia,Queensland,Australia - Queensland,"5,095,100"
Australia,South Australia,Australia - South Australia,"1,751,693"
Australia,Tasmania,Australia - Tasmania,"534,281"
Australia,Victoria,Australia - Victoria,"6,594,804"
Australia,Western Australia,Australia - Western Australia,"2,621,680"
Austria,,Austria,"8,859,449"
Azerbaijan,,Azerbaijan,"10,205,810"
"Bahamas, The",,"Bahamas, The","337,721"
Bahrain,,Bahrain,"1,505,003"
Bangladesh,,Bangladesh,"162,650,853"
Barbados,,Barbados,"294,560"
Belarus,,Belarus,"9,477,918"
Belgium,,Belgium,"11,720,716"
Belize,,Belize,"399,598"
Benin,,Benin,"12,864,634"
Bhutan,,Bhutan,"782,318"
Bolivia,,Bolivia,"11,639,909"
Bosnia and Herzegovina,,Bosnia and Herzegovina,"3,835,586"
Botswana,,Botswana,"2,317,233"
Brazil,,Brazil,"211,715,973"
British Virgin Islands,,British Virgin Islands,"37,381"
Brunei,,Brunei,"464,478"
Bulgaria,,Bulgaria,"6,966,899"
Burkina Faso,,Burkina Faso,"20,835,401"
Burma,,Burma,"56,590,071"
Burundi,,Burundi,"11,865,821"
Cape Verde,,Cape Verde,"583,255"
Cambodia,,Cambodia,"16,926,984"
Cameroon,,Cameroon,"27,744,989"
Canada,,Canada,"37,694,085"
Canada,Alberta,Canada - Alberta,"4,413,146"
Canada,British Columbia,Canada - British Columbia,"5,110,917"
Canada,Manitoba,Canada - Manitoba,"1,377,517"
Canada,New Brunswick,Canada - New Brunswick,"779,993"
Canada,Newfoundland and Labrador,Canada - Newfoundland and Labrador,"521,365"
Canada,Northwest Territories,Canada - Northwest Territories,"44,904"
