Old Country,New Country
Mainland China,China
Bahamas,"Bahamas, The"
The Bahamas,"Bahamas, The"
Gambia,"Gambia, The"
The Gambia,"Gambia, The"
Czech Republic,Czechia
Viet Nam,Vietnam
Vatican City,Holy See
"Taiwan","Taiwan*"
East Timor,Timor-Leste
Iran (Islamic Republi of),Iran
Republic of Ireland,Ireland
Republic of Korea,"Korea, South"
Korea South,"Korea, South"
South Korea,"Korea, South"
Republic of Moldova,Moldova
UK,United Kingdom
Iran (Islamic Republic of),Iran
Ivory Coast,Cote d'Ivoire
Fench Guiana,French Guiana
Saint Martin,St Martin
St. Martin,St Martin
Russian Federation,Russia
occupied Palestinian territory,Palestine
Republic of the Congo,Congo (Brazzaville)
Cabo Verde,Cape Verde
United States,US
